episode,reward,length,asteroids_destroyed,initial_asteroids,shots_fired,shots_hit,hit_rate,success,perfect,failure
1,210.59794033547558,152,13,5,79,13,16.455696202531644,True,False,False
2,607.8455605576253,198,15,5,83,15,18.072289156626507,True,False,False
3,817.975384007482,206,21,5,75,21,28.000000000000004,True,False,False
4,620.5296476377213,201,9,5,83,9,10.843373493975903,True,False,False
5,207.6913990719995,145,4,5,52,4,7.6923076923076925,True,False,False
6,214.03160883086184,154,4,5,58,4,6.896551724137931,True,False,False
7,208.4217304478325,147,4,5,49,4,8.16326530612245,True,False,False
8,461.8296068037731,183,10,5,69,10,14.492753623188406,True,False,False
9,314.0424467807967,171,2,5,55,2,3.6363636363636362,True,False,False
10,213.74283556242068,154,3,5,52,3,5.769230769230769,True,False,False
11,532.8407677719852,218,6,5,98,6,6.122448979591836,True,False,False
12,402.62263482774324,221,4,5,84,4,4.761904761904762,True,False,False
13,362.66338003465194,172,12,5,72,12,16.666666666666664,True,False,False
14,285.8561676728508,147,6,5,53,6,11.320754716981133,True,False,False
15,529.4600303774288,154,8,5,51,8,15.686274509803921,True,False,False
16,404.75391078307007,170,10,5,62,10,16.129032258064516,True,False,False
17,404.5385761796523,146,12,5,55,12,21.818181818181817,True,False,False
18,727.8815180823945,241,6,5,98,6,6.122448979591836,True,False,False
19,604.6625658852247,193,14,5,74,14,18.91891891891892,True,False,False
20,427.66692401512387,136,21,5,52,21,40.38461538461539,True,False,False
21,301.1367877517777,151,14,5,64,14,21.875,True,False,False
22,431.98759570410084,156,5,5,48,5,10.416666666666668,True,True,False
23,313.19882039892775,142,9,5,56,9,16.071428571428573,True,False,False
24,353.51976811299687,178,7,5,69,7,10.144927536231885,True,False,False
25,261.8737645189891,232,1,5,103,1,0.9708737864077669,True,False,False
26,517.8716785548693,208,3,5,75,3,4.0,True,False,False
27,453.3047402530053,180,16,5,78,16,20.51282051282051,True,False,False
28,494.062724305849,184,13,5,76,13,17.105263157894736,True,False,False
29,436.04151193982227,149,8,5,56,8,14.285714285714285,True,False,False
30,306.2028700449616,141,8,5,50,8,16.0,True,False,False
31,314.18812701585784,145,5,5,62,5,8.064516129032258,True,True,False
32,394.7160194721283,154,12,5,56,12,21.428571428571427,True,False,False
33,311.51499361914915,145,9,5,64,9,14.0625,True,False,False
34,378.8234698599391,196,9,5,82,9,10.975609756097562,True,False,False
35,311.2167036053335,158,8,5,58,8,13.793103448275861,True,False,False
36,345.915506785919,178,10,5,68,10,14.705882352941178,True,False,False
37,353.3650840337873,180,12,5,75,12,16.0,True,False,False
38,572.0387378300065,203,10,5,80,10,12.5,True,False,False
39,206.25421830715038,140,3,5,46,3,6.521739130434782,True,False,False
40,727.8069605480237,212,12,5,75,12,16.0,True,False,False
41,646.9014038244193,237,9,5,96,9,9.375,True,False,False
42,302.61276216943355,144,6,5,51,6,11.76470588235294,True,False,False
43,392.84569421201513,178,7,5,80,7,8.75,True,False,False
44,273.1058823782115,154,6,5,52,6,11.538461538461538,True,False,False
45,353.7977791796369,186,9,5,79,9,11.39240506329114,True,False,False
46,411.0835502048178,146,9,5,57,9,15.789473684210526,True,False,False
47,377.1447988184334,146,14,5,56,14,25.0,True,False,False
48,321.1730896158024,160,5,5,60,5,8.333333333333332,True,True,False
49,304.892513904123,157,14,5,48,14,29.166666666666668,True,False,False
50,422.86450726776775,156,10,5,71,10,14.084507042253522,True,False,False
51,489.3968236993802,192,4,5,69,4,5.797101449275362,True,False,False
52,611.3305071879806,194,11,5,65,11,16.923076923076923,True,False,False
53,214.6950876478129,157,5,5,52,5,9.615384615384617,True,True,False
54,431.3849516872592,144,9,5,53,9,16.9811320754717,True,False,False
55,418.9364472407274,142,11,5,51,11,21.568627450980394,True,False,False
56,259.3128047217034,134,6,5,44,6,13.636363636363635,True,False,False
57,363.86653359545596,140,10,5,49,10,20.408163265306122,True,False,False
58,216.86195215001902,168,7,5,68,7,10.294117647058822,True,False,False
59,416.12435613646096,143,13,5,61,13,21.311475409836063,True,False,False
60,213.126753687144,157,2,5,64,2,3.125,True,False,False
61,447.9305116112954,257,12,5,133,12,9.022556390977442,True,False,False
62,296.28701908346255,137,10,5,53,10,18.867924528301888,True,False,False
63,346.46657214042136,154,9,5,69,9,13.043478260869565,True,False,False
64,303.5052630754877,143,5,5,56,5,8.928571428571429,True,True,False
65,213.5714999484112,151,10,5,61,10,16.39344262295082,True,False,False
66,728.1623450829084,231,5,5,84,5,5.952380952380952,True,True,False
67,226.7896741377903,177,4,5,67,4,5.970149253731343,True,False,False
68,537.9969940883933,171,6,5,63,6,9.523809523809524,True,False,False
69,361.2629884934431,189,3,5,76,3,3.9473684210526314,True,False,False
70,216.3298392025103,154,3,5,51,3,5.88235294117647,True,False,False
71,665.7669702654396,219,6,5,86,6,6.976744186046512,True,False,False
72,498.0241534776243,193,11,5,88,11,12.5,True,False,False
73,521.3756831853743,150,12,5,46,12,26.08695652173913,True,False,False
74,269.95502837590016,138,7,5,50,7,14.000000000000002,True,False,False
75,295.7737968795531,137,2,5,39,2,5.128205128205128,True,False,False
76,208.33545758541106,142,11,5,69,11,15.942028985507244,True,False,False
77,570.0255891251887,210,4,5,79,4,5.063291139240507,True,False,False
78,536.2932086911198,219,2,5,88,2,2.272727272727273,True,False,False
79,682.230714704061,234,6,5,92,6,6.521739130434782,True,False,False
80,429.2330184109901,182,4,5,67,4,5.970149253731343,True,False,False
81,557.5763773519129,175,15,5,60,15,25.0,True,False,False
82,209.76851139484154,141,11,5,54,11,20.37037037037037,True,False,False
83,559.237169066396,176,11,5,50,11,22.0,True,False,False
84,303.19098231578903,140,7,5,55,7,12.727272727272727,True,False,False
85,414.6811971420253,143,6,5,44,6,13.636363636363635,True,False,False
86,466.76698622128686,184,9,5,66,9,13.636363636363635,True,False,False
87,773.0229562654637,199,23,5,78,23,29.48717948717949,True,False,False
88,318.10776907637364,153,9,5,53,9,16.9811320754717,True,False,False
89,314.6802473805309,145,8,5,63,8,12.698412698412698,True,False,False
90,751.0990632738607,194,9,5,49,9,18.367346938775512,True,False,False
91,420.2040679859009,146,8,5,45,8,17.77777777777778,True,False,False
92,726.9889083659166,212,15,5,80,15,18.75,True,False,False
93,210.59741094070318,156,5,5,65,5,7.6923076923076925,True,True,False
94,342.00403997718104,166,9,5,62,9,14.516129032258066,True,False,False
95,398.50042214790994,137,6,5,42,6,14.285714285714285,True,False,False
96,503.4818339042821,214,6,5,78,6,7.6923076923076925,True,False,False
97,515.7622229545934,143,11,5,50,11,22.0,True,False,False
98,226.1880986335068,172,6,5,72,6,8.333333333333332,True,False,False
99,551.14969719534,174,16,5,76,16,21.052631578947366,True,False,False
100,313.6045168897641,152,3,5,49,3,6.122448979591836,True,False,False
